"rating","text","helpful_vote","verified_purchase","review_length","word_count","helpful_vote_na","review_length_na","word_count_na","text_missing"
3,"Heavy duty but doesn't hold pants tightly down and can't adjust them any smaller than they are.",0,TRUE,95,17,FALSE,FALSE,FALSE,0
5,"Great eye protection, perfect for driving or outdoor activities. Excellent value , stylish and durable !! Over the years I’ve spent a lot more money in sunglasses but never got a better pair !",2,TRUE,192,34,FALSE,FALSE,FALSE,0
1,"Doesn't stay on. The hook things both face the same way and don't stay on. Nor is it water proof or resistant. It's just an annoying waste of money.",0,TRUE,148,29,FALSE,FALSE,FALSE,0
5,"Even though it’s summer, I like this product.  I will be ready for winter.",0,TRUE,74,14,FALSE,FALSE,FALSE,0
5,"This is such a great go to dress for work!",0,TRUE,42,10,FALSE,FALSE,FALSE,0
1,"okay , this watch is a total fake I mean there are feature on it that don't do anything on the main face there are three small dial's which don't do anything second on the side where the time adjust are there are two button's they don't do a thing and for what ever on the left there's a smaller time read out guess you could put and cross state time on it I guess I could send it back but my old watch died so I use this for a time peace for now till I get a better one , if you want a watch that totally fake this is the one to buy it does like impressive ....",3,TRUE,562,121,FALSE,FALSE,FALSE,0
1,"Not worth it",0,TRUE,12,3,FALSE,FALSE,FALSE,0
1,"I didn't get the earings do 0 out of 5",0,TRUE,38,10,FALSE,FALSE,FALSE,0
5,"I like these glasses because you can see clearly.  I was worried about eye protection from Covid19 after I take<br />off my sunglasses but now I don't worry. While wearing these, I forget they are even on!",0,TRUE,205,37,FALSE,FALSE,FALSE,0
3,"I thought the quality of the metal could be better.",0,TRUE,51,10,FALSE,FALSE,FALSE,0
1,"Not snow pants and way smaller than described. Then and cheap not worth the $! Having problems returning them. Waiting on label then went past thirty days.",0,TRUE,155,27,FALSE,FALSE,FALSE,0
3,"This dress was okay but I returned it. Was VERY tight and revealing. I’m 36D and 5’8” and ordered a Medium based on reviews and size chart. The fit was a little odd in the gathered section and didn’t hide my tummy like I had hoped. It was also very short hitting about an inch or two above the knee. I felt very uncomfortable so I returned it but I am sure it would fit better on someone who has not had children yet.",0,TRUE,417,84,FALSE,FALSE,FALSE,0
4,"Good for the price.",0,TRUE,19,4,FALSE,FALSE,FALSE,0
